New;label
в пятница 23 ноябрь ожидаться выплата купонный доход по 19 выпуск облигация на общий сумма 787926 миллион рубль ;1
российский рынок пытаться скорректироваться после снижение ;1
и ростёха мочь создать единый компания для развитие 5g уже в март ;1
сегодня ожидаться выплата купонный доход по 28 выпуск облигация на общий сумма 527984 миллион рубль ;1
в вторник 20 ноябрь ожидаться выплата купонный доход по 28 выпуск облигация на общий сумма 527982 миллион рубль ;1
россиянин стать один в ритмтанец на кубок ;1
в течение ближний неделя с 17 по 23 ноябрь ожидаться выплата купонный доход по 76 выпуск облигация ;1
российский рынок акция открыться в минус ;0
в совдир «ростелекома» выдвинуть действующий и эксглава минкомсвязи ;1
съесть ли закон яров прибыль ;0
чистый прибыль увеличиться в 3м квартал на 46 ;1
«ростелеком» повысить прогноз по выручка за 2018 год ;1
сегодня ожидаться выплата купонный доход по 16 выпуск облигация на общий сумма 1559057 миллион рубль ;1
в среда 24 октябрь ожидаться выплата купонный доход по 16 выпуск облигация на общий сумма 1559057 миллион рубль ;1
в течение ближний неделя с 20 по 26 октябрь ожидаться выплата купонный доход по 104 выпуск облигация ;1
«ростелеком» внедрить квантовый технология для передача дать ;1
рынок акция московский биржа по состояние на 1430 мск 11 октябрь снижаться ;0
эксперт репутация российский компания ухудшиться за год ;0
прекращать листинг gdr на lse ;0
требование к уровень криптозащита ограничивать возможность предоставление банковский услуга гражданин на основа биометрия ;0
российский рынок встретить среда в плюс ;1
на создание сеть связь для нужда оборона из федеральный бюджет быть направить более 30 миллиард рубль ;1
сегодня ожидаться выплата купонный доход по 14 выпуск облигация на общий сумма 339955 миллион рубль ;1
в четверг 20 сентябрь ожидаться выплата купонный доход по 14 выпуск облигация на общий сумма 339955 миллион рубль ;1
в течение ближний неделя с 15 по 21 сентябрь ожидаться выплата купонный доход по 70 выпуск облигация ;1
сегодня ожидаться выплата купонный доход по 11 выпуск облигация на общий сумма 214271 миллион рубль ;1
в пятница 14 сентябрь ожидаться выплата купонный доход по 11 выпуск облигация на общий сумма 214271 миллион рубль ;1
в течение ближний неделя с 8 по 14 сентябрь ожидаться выплата купонный доход по 73 выпуск облигация ;1
государство мочь получить контроль над tele2 ;1
в рф нет необходимость вводить госрегулирование скорость доступ к интернетресурс министр связь ;1
платёжный система золотой корона начало работать в вьетнам ;1
россия тестировать новый технология для блокировка telegram документ ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 145 ;1
рынок акция московский биржа по состояние на 1600 мск 27 август расти ;1
рынок акция московский биржа по состояние на 1430 мск 27 август расти ;1
оператор просить не запрещать имя влиять на скорость доступ к интернетресурс ;0
оператор рф хотеть обязать иностранный компания оплачивать хранение они дать для нужда фсб ;0
эксглава скалугин уйти из минкомсвязи ;0
индекс мосбиржа упасть на 15 индекс ртс рухнуть на 37 ;0
выручка в 2м квартал превысить прогноз ;1
рынок акция московский биржа по состояние на 1600 мск 1 август снижаться ;0
фсб прогнозировать рост тариф оператор связь рф на 10 изз закон яров документ ;1
за 10 день июль дать в единый система биометрический идентификация гражданин сдать более 500 человек ;1
рынок акция московский биржа по состояние на 1300 мск 10 июль двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1005 мск 10 июль двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1845 мск 5 июль расти ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 186 ;1
российский рынок нелогичный индекс логичный рубль ;0
российский рынок пытаться скорректироваться после снижение ;1
индекс мосбиржа снизиться на 08 индекс ртс на 13 ;0
россия установить рекорд по добыча нефть ;1
российский рынок акция открыться в минус ;0
нефтяник подписать соглашение о заморозка цена на бензин ;0
козак рынок нефтепродукт в рф стабилизироваться цена заморозить до апрель ;0
рынок акция московский биржа по состояние на 1845 мск 9 ноябрь снижаться ;0
reuters «нефть» и «сургутнефтегаз» хотеть перейти на расчёт в евро ;1
российский нефтяник найти способ защититься от санкция ;1
эксклюзивнефтекомпание рф хотеть разделить с покупатель санкционный риска в 2019 год ;0
медведев подписать постановление о заморозка цена на бензин ;0
индекс мосбиржа превысить 2400 пункт ;1
бензин начать дешеветь после соглашение о заморозка цена ;0
нефть подтвердить участие в соглашение по рынок топливо и снизить мелкооптовый цена на бензин и дизтопливо ;0
роснефть татнефть нефтегазхолдинг и новый поток поддержать предложение по стабилизация рынок топливо ;0
«сургутнефтегаз» присоединиться к соглашение о заморозка цена на топливо ;0
рынок акция московский биржа по состояние на 1845 мск 31 октябрь расти ;1
bloomberg предрекать россия миллиард убыток ;0
российский индекс начать неделя падение ;0
— ключевой потрясение рынок ;0
компания рф тестировать сделка без использование доллар на фон санкционный риск ;1
октябрьский добыча нефть в рф достигнуть 114 миллион бс что на 453 тысяча бс большой обязательство по опека ;1
itгигант alphabet стать хороший работодатель мир ;0
правительство рф поручить регулятор увеличить норматив минимальный продажа топливо на биржа ;0
россия на 19 снизить экспорт нефть в дальний зарубежье за 9 месяц ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 013 ;0
хронологиясанкция сша против россия в 2018 год ;0
фас поддерживать идея обязать нк поставлять на нпз до 175 добыть нефть ;0
в это год не лидировать в рейтинг глобальный энергетический компания sp global platts ;0
экспорт думать над механизм расчёт за газ с привязка к золото ;1
готовиться к санкция сша ;0
рынок акция московский биржа по состояние на 1845 мск 12 сентябрь расти ;1
рынок акция московский биржа по состояние на 1845 мск 5 сентябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 064 ;0
экспорт нефть из рф в дальний зарубежье в январеавгуста снизиться на 28 ;0
добыча газа в рф за 8 месяц вырасти на 56 нефть на 03 ;1
рынок акция рф завершить торг рост индекс мосбиржа и ртс на 0616 ;1
помочь валюта и цена на нефть ;1
прибыль по мсфо за полугодие подскочить в 43 раз ;1
власть рф пытаться успокоить рынок топливо ;1
минфин сша санкция работать дерипаск и вексельберг стать бедный ;0
индекс мосбиржа снизиться на 03 индекс ртс вырасти на 11 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 046 ;1
индекс мосбиржа упасть на 15 индекс ртс рухнуть на 37 ;0
рынок акция московский биржа по состояние на 1845 мск 8 август снижаться ;0
россия провести один за десятилетие год без ipo под давление санкция ;0
рф хотеть закрыть информация о миноритарий компания опасаться вторичный санкция рсппа ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 070 ;1
и ростёха мочь создать единый компания для развитие 5g уже в март ;1
россия отключать интернет в время протест в ингушетия документ ;0
рынок акция московский биржа по состояние на 1300 мск 9 ноябрь снижаться ;0
рынок акция московский биржа по состояние на 1845 мск 8 ноябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 027 ;0
сегодня ожидаться выплата купонный доход по 17 выпуск облигация на общий сумма 298830 миллион рубль ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 137 ;1
рынок акция московский биржа по состояние на 1600 мск 7 ноябрь расти ;1
в четверг 8 ноябрь ожидаться выплата купонный доход по 17 выпуск облигация на общий сумма 298830 миллион рубль ;1
эксклюзивподать иск в сша к hp enterprise требовать возместить ущерб за сбоить в система ;0
в течение ближний неделя с 3 по 9 ноябрь ожидаться выплата купонный доход по 58 выпуск облигация ;1
рынок акция московский биржа по состояние на 1300 мск 2 ноябрь расти ;1
mailru выделить локальный сервис доставка еда и классифайд в отдельный платформа ;1
холдинг usm усманов передать контроль в mailru group под управление топменеджер компания ;0
усманов перестать контролировать mailru group ;0
— ключевой потрясение рынок ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 142 ;0
рынок акция московский биржа по состояние на 1005 мск 18 октябрь снижаться ;0
рынок акция московский биржа по состояние на 1845 мск 11 октябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 212 ;0
рынок акция московский биржа по состояние на 1600 мск 11 октябрь снижаться ;0
глава солдатенков покидать свой пост этот должность занять вермишян ;0
геворк вермишян мочь возглавить ;0
сегодня ожидаться выплата купонный доход по 10 выпуск облигация на общий сумма 260080 миллион рубль ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 057 ;0
в течение ближний неделя с 6 по 12 октябрь ожидаться выплата купонный доход по 80 выпуск облигация ;1
в понедельник 8 октябрь ожидаться выплата купонный доход по 10 выпуск облигация на общий сумма 260071 миллион рубль ;1
прекращать листинг gdr на lse ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 116 ;0
российский телекомбизнес быть растить на 23 в год исследование ;1
не нужный имя берег заморский 5 топделистинг россиянин ;0
интервьюрфпить планировать новое инвестиция с alibaba после создание сп директор ;1
рынок акция московский биржа по состояние на 1845 мск 11 сентябрь двигаться разнонаправленный ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 003 ;0
moodys подтвердить рейтинг на уровень ba1 прогноз стабильный ;0
alibaba отдать контроль над российский бизнес в рамка новое сп с рфпить и mailru ;1
рфпить alibaba и mailru group в рамка партнерство создать сп в область ecommerce ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 005 ;1
рынок акция московский биржа по состояние на 1430 мск 7 сентябрь снижаться ;0
рынок акция московский биржа по состояние на 1300 мск 7 сентябрь снижаться ;0
5 октябрь прекратить листинг gdr на lse ;0
сегодня ожидаться выплата купонный доход по 14 выпуск облигация на общий сумма 159696 миллион рубль ;1
в пятница 7 сентябрь ожидаться выплата купонный доход по 14 выпуск облигация на общий сумма 159696 миллион рубль ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 041 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 064 ;1
в течение ближний неделя с 1 по 7 сентябрь ожидаться выплата купонный доход по 74 выпуск облигация ;1
рынок акция московский биржа по состояние на 1845 мск 8 ноябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 027 ;0
рынок акция московский биржа по состояние на 1600 мск 8 ноябрь снижаться ;0
реорганизовать операционный дочка путём присоединение к она эльдорадо и структура media markt ;1
рынок акция московский биржа по состояние на 1430 мск 6 ноябрь расти ;1
рынок акция московский биржа по состояние на 1845 мск 31 октябрь расти ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 229 ;1
рынок акция московский биржа по состояние на 1600 мск 31 октябрь расти ;1
рынок акция московский биржа по состояние на 1005 мск 31 октябрь расти ;1
рынок акция московский биржа по состояние на 1845 мск 30 октябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 074 ;0
эльдорадо обновлять стратегия и формат магазин ;1
рынок акция московский биржа по состояние на 1300 мск 30 октябрь снижаться ;0
российский биржа прибавить более 1 ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 104 ;1
рынок акция московский биржа по состояние на 1600 мск 29 октябрь расти ;1
рынок акция московский биржа по состояние на 1430 мск 29 октябрь расти ;1
рынок акция московский биржа по состояние на 1300 мск 29 октябрь расти ;1
российский индекс просесть почти на 2 ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 165 ;0
мвидеоэльдорадо увеличить выручка в 3м квартал на 16 ;1
открыть магазин малое формат в бывший советский кинотеатр в москва ;1
рынок акция московский биржа по состояние на 1600 мск 15 октябрь двигаться разнонаправленный ;0
эксперт репутация российский компания ухудшиться за год ;0
рынок акция московский биржа по состояние на 1300 мск 24 сентябрь двигаться разнонаправленный ;0
рынок акция россия закрыться рост ;1
рынок акция московский биржа по состояние на 1845 мск 5 сентябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 064 ;0
рынок акция московский биржа по состояние на 1300 мск 5 сентябрь снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 041 ;0
рынок акция московский биржа по состояние на 1845 мск 3 сентябрь двигаться разнонаправленный ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 001 ;1
рынок акция московский биржа по состояние на 1600 мск 3 сентябрь двигаться разнонаправленный ;0
закрыть сделка по приобретение сеть mediamarkt ;1
рынок акция московский биржа по состояние на 1600 мск 29 август расти ;1
группа мвидеоэльдорадо увеличить чистый прибыль на 88 ;1
рынок акция московский биржа по состояние на 1005 мск 24 август расти ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 077 ;1
фас одобрить покупка ритейлер российский бизнес media markt ;1
рынок акция московский биржа по состояние на 1430 мск 1 август снижаться ;0
рынок акция московский биржа по состояние на 1430 мск 31 июль расти ;1
рынок акция московский биржа по состояние на 1300 мск 31 июль двигаться разнонаправленный ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 013 ;1
рынок акция московский биржа по состояние на 1600 мск 30 июль расти ;1
рынок акция московский биржа по состояние на 1430 мск 30 июль расти ;1
рынок акция московский биржа по состояние на 1005 мск 27 июль двигаться разнонаправленный ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 045 ;1
розница – бенефициар чемпионат ;1
мундиаля на месяц изменить пристрастие потребитель в рф но вряд ли вызвать бум продажа ;0
рфпить в ближний месяц финализировать около 10 российскофранцузский сделка ;1
рынок акция московский биржа по состояние на 1845 мск 31 октябрь расти ;1
рынок акция московский биржа по состояние на 1600 мск 31 октябрь расти ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 043 ;0
попросить власть рф и индия обсудить отмена пошлина на удобрение ;1
поставить в индия 2 миллион тонна удобрение на 1 миллиард в 20192021 год ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 116 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 108 ;1
рынок акция московский биржа по состояние на 1845 мск 13 сентябрь расти ;1
рынок акция рф закрыться рост индекс мосбиржа прибавить 071 ;1
рынок акция московский биржа по состояние на 1600 мск 31 август двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1300 мск 31 август двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1845 мск 28 август двигаться разнонаправленный ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 014 ;1
топ4 индекс msci russia 1040 остаться без изменение ;0
власть рф помочь бизнес правильно потратить свердоход без изъятие ;1
у кремль и белый дом нет позиция по изъятие допдоход у компания песок ;1
у кремль и белый дом нет позиция по изъятие допдоход у компания пока это предложение белоусов и реакция профильный ведомство песок ;1
рынок акция московский биржа по состояние на 1300 мск 24 август двигаться разнонаправленный ;0
топменеджер компания из список белоусов прибыть на встреча с он очевидец рейтер ;0
рынок акция московский биржа по состояние на 1845 мск 23 август снижаться ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 161 ;0
рынок акция московский биржа по состояние на 1600 мск 23 август снижаться ;0
акция устремиться вверх на позитивный отчётность ;1
рынок акция московский биржа по состояние на 1430 мск 23 август снижаться ;0
правительство рф посчитать нецелесообразный изъятие у компания из список белоусов ;0
акция новатэк достигнуть исторический пик ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 069 ;0
северсталь мочь снизить инвестпрограмма в случай введение налог на сверхдоход ;0
минпромторг предложить большой бизнес самый себя придумать вариант изъятие сверхдоход ;1
кремль предложить изъять в бюджет сверхдоход металлург и химик письмо ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 083 ;0
четыре фактор рост ;1
рынок акция московский биржа по состояние на 1845 мск 6 июль двигаться разнонаправленный ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 006 ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 157 ;1
рынок акция московский биржа по состояние на 1600 мск 20 июнь расти ;1
рынок акция московский биржа по состояние на 1430 мск 20 июнь расти ;1
рынок акция рф закрыться падение индекс мосбиржа снизиться на 002 ;0
рынок рф вяло отреагировать на корпоративный новость изз опасение инвестор ;0
рынок акция московский биржа по состояние на 1300 мск 30 май двигаться разнонаправленный ;0
рубль выйти в плюс к доллар после вчерашний турбулентность на мировой рынок ;1
рынок акция московский биржа по состояние на 1005 мск 29 май двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1845 мск 22 май двигаться разнонаправленный ;0
рынок акция рф закрыться падение индекс мосбиржа снизиться на 025 ;0
рынок акция московский биржа по состояние на 1300 мск 22 май двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1005 мск 28 апрель снижаться ;0
рынок акция московский биржа по состояние на 1600 мск 19 апрель снижаться ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 230 ;1
считать цена ниже 300 за тонна необоснованный для азиатский рынок ;0
интервью казначей нелегко прийти к акционер с план на год и сообщить что компания быть занимать дорогой ук трансфингруп ;0
завершить размещение облигация серия пбо05р объём 10 миллиард рубль ;1
мосбиржа зарегистрировать облигация серия пбо05р объём 10 миллиард рубль ;1
ставка 1го купон облигация на 10 миллиард рубль установить на уровень 93 ;1
ставка 1го купон облигация на 15 миллиард рубль установить на уровень 93 ;1
совладелец ждать рост ebitda компания на 1015 в 2018 год тв ;1
2 ноябрь собрать заявка на трехлетний облигация объём от 10 миллиард рубль ;1
fitch улучшить прогноз рейтинг ;1
fitch изменить прогноз рейтинг с негативный на стабильный ;1
рубль продолжать укрепляться ;1
сегодня ожидаться выплата купонный доход по 15 выпуск облигация на общий сумма 1304376 миллион рубль ;1
в среда 19 сентябрь ожидаться выплата купонный доход по 15 выпуск облигация на общий сумма 1305653 миллион рубль ;1
установить ставка 5го купон облигация пбо01ть и пбо02ть в размер 741875 ;1
индекс мосбиржа вырасти на 06 индекс ртс на 04 ;1
акция uc rusal дорожать на 175 на разъяснение минфин ;1
в течение ближний неделя с 15 по 21 сентябрь ожидаться выплата купонный доход по 70 выпуск облигация ;1
получить чистый убыток в 1м полугодие против прибыть год ранее ;0
власть рф помочь бизнес правильно потратить свердоход без изъятие ;1
у кремль и белый дом нет позиция по изъятие допдоход у компания песок ;1
у кремль и белый дом нет позиция по изъятие допдоход у компания пока это предложение белоусов и реакция профильный ведомство песок ;1
топменеджер компания из список белоусов прибыть на встреча с он очевидец рейтер ;0
правительство рф посчитать нецелесообразный изъятие у компания из список белоусов ;0
северсталь мочь снизить инвестпрограмма в случай введение налог на сверхдоход ;0
минпромторг предложить большой бизнес самый себя придумать вариант изъятие сверхдоход ;1
«список белоусова» к новый дивиденд ;1
кремль предложить изъять в бюджет сверхдоход металлург и химик письмо ;0
четыре фактор рост ;1
sp улучшить прогноз рейтинг ;1
интервьюеврохим стать значимый игрок на калийный рынок не ранее 2020 год ;0
в 1м квартал снизить чистый прибыль по рсб в 4 раз ;0
член совет директор русало и квадра эксдиректор онэксим даниел литр вулф номинировать в совет директор ;1
рассмотреть увеличение уставный капитал путём преф и делистинг ;0
fitch подтвердить рейтинг ;0
рынок акция рф закрыться рост ммвб прибавить 048 ;1
рынок акция рф закрыться падение ммвб снизиться на 009 ;0
рынок акция рф закрыться рост ммвб прибавить 056 ;1
рынок акция рф закрыться рост ммвб прибавить 040 ;1
рынок акция рф закрыться рост ммвб прибавить 076 ;1
рынок акция рф закрыться рост ммвб прибавить 057 ;1
рынок акция рф закрыться рост ммвб прибавить 036 ;1
рынок акция рф закрыться падение ммвб снизиться на 008 ;0
прохоров продать 7 русало вексельберг за 504 миллион с дисконт 30 ;0
sp подтвердить рейтинг с негативный прогноз ;0
рынок акция московский биржа по состояние на 1845 мск 26 июнь двигаться разнонаправленный ;0
рынок акция рф закрыться падение ммвб снизиться на 038 ;0
рынок акция рф закрыться рост ммвб прибавить 040 ;1
режим промсборка в автопром продлеваться не быть козак ;0
рынок акция московский биржа по состояние на 1005 мск 21 ноябрь снижаться ;0
ford начать поставлять запчасть из россия в европа ;1
глава sollers рассказать о продать на два год вперёд автомобиль aurus ;1
утвердить новое правило компенсация автопром затрата на производство ;0
крупный автозавод просить власть не помогать создание новый сборочный производство ;0
рынок акция московский биржа по состояние на 1005 мск 18 октябрь снижаться ;0
рынок акция московский биржа по состояние на 1300 мск 17 октябрь двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1845 мск 12 октябрь расти ;1
минпромторг до конец год определить площадка для выпуск автомобиль aurus ;1
рынок акция московский биржа по состояние на 1600 мск 5 октябрь двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1430 мск 5 октябрь двигаться разнонаправленный ;0
sollers снизить продажа в рф легковой машина и lcv в сентябрь на 115 ;0
рынок акция московский биржа по состояние на 1430 мск 1 октябрь двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1005 мск 26 сентябрь двигаться разнонаправленный ;0
рф хотеть ограничить госзакупка техника у конкурент группа газ дерипаск ;0
рынок акция московский биржа по состояние на 1845 мск 18 сентябрь расти ;1
автопром просить новый скидка от ржд ;1
рынок акция московский биржа по состояние на 1845 мск 13 сентябрь расти ;1
сп mazdasollers открыть завод двигатель в владивосток ;1
рынок акция московский биржа по состояние на 1300 мск 3 сентябрь снижаться ;0
рынок акция московский биржа по состояние на 1005 мск 3 сентябрь снижаться ;0
чистый прибыль sollers по мсфо упасть на 23 ;0
рынок акция московский биржа по состояние на 1005 мск 24 август расти ;1
ford отзывать в россия около 4 тысяча автомобиль ;0
рынок акция московский биржа по состояние на 1430 мск 14 август двигаться разнонаправленный ;0
рынок акция московский биржа по состояние на 1005 мск 8 август снижаться ;0
